"Absolute Path","Relative Path","Label"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0001.txt","..\python\dataset_copy\1_0001.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0002.txt","..\python\dataset_copy\1_0002.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0003.txt","..\python\dataset_copy\1_0003.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0004.txt","..\python\dataset_copy\1_0004.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0005.txt","..\python\dataset_copy\1_0005.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0006.txt","..\python\dataset_copy\1_0006.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0007.txt","..\python\dataset_copy\1_0007.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0008.txt","..\python\dataset_copy\1_0008.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0009.txt","..\python\dataset_copy\1_0009.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0010.txt","..\python\dataset_copy\1_0010.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0011.txt","..\python\dataset_copy\1_0011.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0012.txt","..\python\dataset_copy\1_0012.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0013.txt","..\python\dataset_copy\1_0013.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0014.txt","..\python\dataset_copy\1_0014.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0015.txt","..\python\dataset_copy\1_0015.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0016.txt","..\python\dataset_copy\1_0016.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0017.txt","..\python\dataset_copy\1_0017.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0018.txt","..\python\dataset_copy\1_0018.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0019.txt","..\python\dataset_copy\1_0019.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0020.txt","..\python\dataset_copy\1_0020.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0021.txt","..\python\dataset_copy\1_0021.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0022.txt","..\python\dataset_copy\1_0022.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0023.txt","..\python\dataset_copy\1_0023.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0024.txt","..\python\dataset_copy\1_0024.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0025.txt","..\python\dataset_copy\1_0025.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0026.txt","..\python\dataset_copy\1_0026.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0027.txt","..\python\dataset_copy\1_0027.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0028.txt","..\python\dataset_copy\1_0028.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0029.txt","..\python\dataset_copy\1_0029.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0030.txt","..\python\dataset_copy\1_0030.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0031.txt","..\python\dataset_copy\1_0031.txt","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/dataset_copy\1_0032.txt","..\python\dataset_copy\1_0032.txt","1"
