"Absolute Path","Relative Path","Label"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2565.text","..\python\data_random\2565.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6833.text","..\python\data_random\6833.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\5903.text","..\python\data_random\5903.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7417.text","..\python\data_random\7417.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2658.text","..\python\data_random\2658.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6288.text","..\python\data_random\6288.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\8735.text","..\python\data_random\8735.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\113.text","..\python\data_random\113.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7359.text","..\python\data_random\7359.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2326.text","..\python\data_random\2326.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6372.text","..\python\data_random\6372.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7005.text","..\python\data_random\7005.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\6454.text","..\python\data_random\6454.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1585.text","..\python\data_random\1585.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2856.text","..\python\data_random\2856.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2738.text","..\python\data_random\2738.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4403.text","..\python\data_random\4403.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9560.text","..\python\data_random\9560.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\7475.text","..\python\data_random\7475.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\4462.text","..\python\data_random\4462.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9683.text","..\python\data_random\9683.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9234.text","..\python\data_random\9234.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3147.text","..\python\data_random\3147.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\3266.text","..\python\data_random\3266.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\9908.text","..\python\data_random\9908.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\1680.text","..\python\data_random\1680.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\363.text","..\python\data_random\363.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\2065.text","..\python\data_random\2065.text","1"
"C:/Users/DELL/PycharmProjects/LabApplicationProgramming/python/data_random\659.text","..\python\data_random\659.text","1"
