"count","num","text"
"1","1","закрытая информация по моим же деньгам"
"2","1","Как Сбербанк обманывает клиентов и почему не стоит с ним связываться!"
"3","1","Деньги до сих пор не вернули!"
"4","1","Право то есть, да совести нет"
"5","1","Театр абсурда или как мне выпускали банковскую карту"
"6","1","Ужасная НЕработа отдела по работе с закладными и снятия обременения по кредиту"
"7","1","Провальное дно."
"8","1","Затягивание сроков внутрибанковских переводов между дебетовой и кредитной картой одного клиента"
"9","1","крохоборы"
"10","1","Хотите лишиться последних денег? Тогда вам в Сбербанк."
"11","1","Переплата 101%"
"12","1","отправлено заявление в прокуратуру по факту мошеннических действий"
"13","1","Хамство"
"14","1","Навязчивая ""забота"" о клиентах"
"15","1","Незаконно списывают алименты, тянут с возвратом"
"16","1","Хамло одно работает!"
"17","1","Тебе там не рады"
"18","1","Не пользуюсь данным банком!"
"19","1","""Храните деньги в Сбербанке!"""
"20","1","Сбер-ничего для людей!"
"21","1","Самый отвратительный банк который я знаю"
"22","1","Полный треш"
"23","1","Разводняк."
"24","1","Негативное. Услуги банка не соответствуют времени."
"25","1","Мошеники среди работников банка"
"26","1","Просто дно"
"27","1","Все плохо"
"28","1","Ужасно"
"29","1","Халатность и разгильдяйство"
"30","1","Ужасный банк"
"31","1","Г...о а не бАНК"
"32","1","Репутация сбербанка 60 рублей"
"33","1","Шарашкина контора(Безответственные сотрудники)"
"34","1","Сбербанк - обманщики, халтурщики и крохоборы"
"35","1","Сбербанк вор"
"36","1","Великий и могучий проигрывает чат боту и цифровой блондинке Сбербанка"
"37","1","Банк у которого постоянно не исправные банкоматы"
"38","1","Недружелюбен для своих клиентов при интернет-платежах"
"39","1","Худший банк РОССИИ. СБЕРБАНК"
"40","1","Отвратительный банк, с системой обворовывания граждан"
"41","1","крохоборы"
"42","1","Хотите лишиться последних денег? Тогда вам в Сбербанк."
"43","1","Переплата 101%"
"44","1","отправлено заявление в прокуратуру по факту мошеннических действий"
"45","1","Хамство"
"46","1","Навязчивая ""забота"" о клиентах"
"47","1","Незаконно списывают алименты, тянут с возвратом"
"48","1","Хамло одно работает!"
"49","1","Тебе там не рады"
"50","1","Не пользуюсь данным банком!"
"51","1","""Храните деньги в Сбербанке!"""
"52","1","Сбер-ничего для людей!"
"53","1","Самый отвратительный банк который я знаю"
"54","1","Полный треш"
"55","1","Разводняк."
"56","1","Негативное. Услуги банка не соответствуют времени."
"57","1","Мошеники среди работников банка"
"58","1","Просто дно"
"59","1","Все плохо"
"60","1","Ужасно"
"61","1","Халатность и разгильдяйство"
"62","1","Ужасный банк"
"63","1","Г...о а не бАНК"
"64","1","Репутация сбербанка 60 рублей"
"65","1","Шарашкина контора(Безответственные сотрудники)"
"66","1","Сбербанк - обманщики, халтурщики и крохоборы"
"67","1","Сбербанк вор"
"68","1","Великий и могучий проигрывает чат боту и цифровой блондинке Сбербанка"
"69","1","Банк у которого постоянно не исправные банкоматы"
"70","1","Недружелюбен для своих клиентов при интернет-платежах"
"71","1","Худший банк РОССИИ. СБЕРБАНК"
"72","1","Отвратительный банк, с системой обворовывания граждан"
"73","1","крохоборы"
"74","1","Хотите лишиться последних денег? Тогда вам в Сбербанк."
"75","1","Переплата 101%"
"76","1","отправлено заявление в прокуратуру по факту мошеннических действий"
"77","1","Хамство"
"78","1","Навязчивая ""забота"" о клиентах"
"79","1","Незаконно списывают алименты, тянут с возвратом"
"80","1","Хамло одно работает!"
"81","1","Тебе там не рады"
"82","1","Не пользуюсь данным банком!"
"83","1","""Храните деньги в Сбербанке!"""
"84","1","Сбер-ничего для людей!"
"85","1","Самый отвратительный банк который я знаю"
"86","1","Полный треш"
"87","1","Разводняк."
"88","1","Негативное. Услуги банка не соответствуют времени."
"89","1","Мошеники среди работников банка"
"90","1","Просто дно"
"91","1","Все плохо"
"92","1","Ужасно"
"93","1","Халатность и разгильдяйство"
"94","1","Ужасный банк"
"95","1","Г...о а не бАНК"
"96","1","Репутация сбербанка 60 рублей"
"97","1","Шарашкина контора(Безответственные сотрудники)"
"98","1","Сбербанк - обманщики, халтурщики и крохоборы"
"99","1","Сбербанк вор"
"100","1","Великий и могучий проигрывает чат боту и цифровой блондинке Сбербанка"
"101","1","Банк у которого постоянно не исправные банкоматы"
"102","1","Недружелюбен для своих клиентов при интернет-платежах"
"103","1","Худший банк РОССИИ. СБЕРБАНК"
"104","1","Отвратительный банк, с системой обворовывания граждан"
"105","1","Ужасный банк"
"106","1","Ужасный банк, отвратительное обслуживание"
"107","1","Пора менять БАНК"
"108","1","Дно а не банк. С годами становится только хуже и хуже."
"109","1","Не умеют работать, не выполняют в срок"
"110","1","Бесконечный долг"
"111","1","ВНИМАНИЕ! Если Вы, как обычно оплачиваете товары онлайн"
"112","1","Испортили ки"
"113","1","Хуже банка я уже не знаю"
"114","1","Ужасная система безопасности"
"115","1","Банк [цензура]"
"116","1","г... банк"
"117","1","Не хороший Сбербанк"
"118","1","Только делают вид, что заботься о клиентах"
"119","1","Фигня"
"120","1","Подстава с обналичиванием бонусов спаибо на свою карту."
"121","1","Блокировка карты без причины"
"122","1","Сбербанк против пенсионеров"
"123","1","[цензура]"
"124","1","Очень Плохо"
"125","1","Кредит через ""Сбербанк онлайн""-для обогащения мошенников"
"126","1","Мерзкий, ""людоедский"" банк"
"127","1","Как хотят,так и работают"
"128","1","Полное безобразие"
"129","1","Обман пенсионеров"
"130","1","Сбер ржавый консервный банк"
"131","1","ужас"
"132","1","Лохотрон всероссийского масштаба"
"133","1","Страх и отвращение"
"134","1","впечатление ужасное"
"135","1","Самый отвратительный банк!"
"136","1","Это ворюги и разгласители личных данных!"
"137","1","Никакое! Туда ни ногой!"
"138","1","У нас свой закон!"
"139","1","Отвратительно"
"140","1","Сливает информацию о клиентах"
"141","1","Заводят в заблуждение"
"142","1","Негатив от Сбербанка"
"143","1","Отвратительно!"
"144","1","Отвратительное"
"145","1","Самый ужасный из ужасных"
"146","1","Пираты"
"147","1","Странное место"
"148","1","ЛОХОТРОН от СберБанка"
"149","1","Как же я ошибалась думая что сбербанк надежный и порядочный банк!"
"150","1","Стал ужасный банк"
"151","1","Отвратительный сервис"
"152","1","Бюрократизм (идиотизм) чистой воды..."
"153","1","Сбербанк требует оплатить несуществующую задолженность другого человека и не разбирается"
"154","1","Ужасно"
"155","1","Неповоротливый банк с отвратительными условиями и требованиями."
"156","1","Сбербанк МСК - отвратительный банк!"
"157","1","Мое впечатление о сбербанке: обман и еще раз обман."
"158","1","Провал"
"159","1","Когда ты пришёл по делу, а не принёс денег, то послан!"
"160","1","Негативное"
"161","1","Плохой банк."
"162","1","Ужасно!"
"163","1","[цензура],вымогатели."
"164","1","проблемы с математикой"
"165","1","Обман с кредитами - Страховка."
"166","1","Это самая большая ОПГ в России."
"167","1","Отвратительный банк!"
"168","1","Обман, жадность, безразличие"
"169","1","Ужасный банк, который абсолютно не заботится о своих клиентах"
"170","1","Ужас, сбор биометрии"
"171","1","г... полное"
"172","1","Не выполняет свои обязательства перед клиентом. С 2021года буду переходить на ВТБ"
"173","1","Мерзопакостность"
"174","1","Не приходят смс банк не желает разбираться"
"175","1","После «реорганизации» стал отвратительным во всех смыслах!"
"176","1","Обманули на 1000 рублей"
"177","1","Приложение Сбербанк в реальном режиме не обновляется"
"178","1","Катастрофа, а не банк"
"179","1","навязывание услуг обманным путём"
"180","1","Отрицательное"
"181","1","Шарага пора закрыть..."
"182","1","Плохо ориентированные сотрудники"
"183","1","плохо"
"184","1","Крайне удивлен действиями этого банка"
"185","1","Обман и некомпетентность менеджеров"
"186","1","Некомпетеность кассира, недоработка ПО."
"187","1","Мутные условия договоров"
"188","1","Ура! Ребрендинг! Теперь сбер не справляется с банковскими услугами, потому что он уже не банк."
"189","1","Блокировка счетов по 115 статье"
"190","1","СберБанк - ПОСОБНИКИ [цензура]!"
"191","1","Ваши деньги в этом банке могут пропасть в одно мгновение"
"192","1","Ужасный банк"
"193","1","Дыра конченая!"
"194","1","Все очень плохо"
"195","1","Разочарование, обман и потеря денег."
"196","1","Полный трэш"
"197","1","Не можем снять свои же деньги!"
"198","1","Ужас! Не советую ни кому не советую электронную регистрацию от сбербанка!"
"199","1","Воры и [цензура]"
"200","1","Как обмануть с кредитом."
"201","1","Крупный, но не ответственный - я бы сказал ""несерьёзный"""
"202","1","Понаберут по объявлению"
"203","1","г..."
"204","1","[цензура] деньги"
"205","1","Непрофесианализм."
"206","1","Недовольна"
"207","1","Банк г..."
"208","1","Отношение к клиентам отвратительное Бакунинская 48-41 ст. 1"
"209","1","негативно"
"210","1","Воруют крупные суммы с карт"
"211","1","ужасный сервис"
"212","1","Сбер Болото"
"213","1","Не становитесь клиентом"
"214","1","банк обнаглел в края"
"215","1","Обратившись за консультацией в коллцентр Сбера, потерял все свои накопления!"
"216","1","Полный отстой"
"217","1","Банк из 90-х"
"218","1","[цензура], хамы, бесчестные [цензура]!"
"219","1","Оформление договора Страхования жизни, путем обмана"
"220","1","Ужасное впечатление складывается в последнее время о Сбербанке."
"221","1","самое отрицательное впечатление"
"222","1","Никогда больше не буду им пользоваться"
"223","1","Алчные барыги."
"224","1","отрицательное"
"225","1","Повторно не рефинансируют, выясняется только после заполнения всех документов"
"226","1","[цензура] банк..."
"227","1","Очень не понравилось это отделение."
"228","1","Сбербанк украл дс с моей зарплатной карты"
"229","1","Не снял обременение, срывает сделку продажи квартиры"
"230","1","Просто отвратительно!"
"231","1","Безобразие!"
"232","1","Воруют деньги, ответственности не несут, служба безопасности = 0"
"233","1","Очередная схема развода пенсионеров! Будьте осторожны!"
"234","1","Сбербанк - [цензура]похлеще многих!"
"235","1","Жалоба и претензия на сбербанк"
"236","1","Оставьте только банкоматы"
"237","1","В этом году качество услуг Сбербанка рухнуло ниже плинтуса и стало ниже любой критики"
"238","1","Нарушают конфедециальность"
"239","1","Не самое лучшее"
"240","1","Ненавижу Сбербанк!"
"241","1","Народный банк, для какого народа, избранных?"
"242","1","сберцирка не хватает"
"243","1","Не заинтересованы увеличением клиентской базы"
"244","1","Совок 20 го века"
"245","1","Отвратительный банк, за всё проценты берут, проблемы решать не хотят"
"246","1","Сбербанк сам оплатил сотовую связь."
"247","1","Много звеньев, крайних нет"
"248","1","Не решают проблему больше 3х месяцев."
"249","1","Воруют деньги!"
"250","1","ужас"
"251","1","Печаль и грусть!"
"252","1","Беспредел, беспардонность, навязывание услуг"
"253","1","Полная шняга!"
"254","1","СБЕР рядом, если нужно списать с вас денег и совсем далеко, чтобы разобраться в ситуации"
"255","1","Отвратительный банк"
"256","1","Банк проводит не клиентоориентированную политику"
"257","1","Отсталый государственный банк."
"258","1","все стремно"
"259","1","Словно попал на факультет Слизерин из Гарри Поттера..."
"260","1","ОТВРАТИТЕЛЬНЫЙ БАНК !"
"261","1","К сожалению Отзовик блокирует нецензурную брань."
"262","1","Отсутствие безопасности. Выходит так, что содействуют действиям мошенников"
"263","1","Воруют деньги!"
"264","1","ужас"
"265","1","Печаль и грусть!"
"266","1","Беспредел, беспардонность, навязывание услуг"
"267","1","Полная шняга!"
"268","1","СБЕР рядом, если нужно списать с вас денег и совсем далеко, чтобы разобраться в ситуации"
"269","1","Отвратительный банк"
"270","1","Банк проводит не клиентоориентированную политику"
"271","1","Отсталый государственный банк."
"272","1","все стремно"
"273","1","Словно попал на факультет Слизерин из Гарри Поттера..."
"274","1","ОТВРАТИТЕЛЬНЫЙ БАНК !"
"275","1","К сожалению Отзовик блокирует нецензурную брань."
"276","1","Отсутствие безопасности. Выходит так, что содействуют действиям мошенников"
"277","1","Наверное для них главное деньги, а не клиенты."
"278","1","Разочарованы в Сбербанке"
"279","1","Полное отсутствие информации и желания решать вопросы клиентов"
"280","1","Не дай Бог иметь с ними дело"
"281","1","занимаются обманом"
"282","1","Разочарование сплошное"
"283","1","Самый отвратительный банк ! Ничего положительного сказать не смогу !"
"284","1","больше не хочу пользоваться"
"285","1","Банк испортился окончательно"
"286","1","Специалисты не заинтересованы в клиентах"
"287","1","В банке работают безотответственные сотрудники, уроверь технологичности банка очень низкий"
"288","1","Держитесь от этого недобанка по дальше!"
"289","1","Отвратительный банк!"
"290","1","Отвратный банк"
"291","1","Ненадежный"
"292","1","Нет желания сотрудничать с таким банком как сбербанк"
"293","1","сбербанк кинул (((("
"294","1","Ложь об условиях погашения кредита"
"295","1","Ипотека домклик , электронная регистрация"
"296","1","Матом писать нельзя а других слов нет"
"297","1","Сбербанк испортился"
"298","1","Сбербанк не хочет переводить мат кап застройщику"
"299","1","Ужасный банк"
"300","1","Сберу плевать на клиентов - он делает деньги"
"301","1","Один из самых стремных банков."
"302","1","Не могут вернуть деньги..."
"303","1","Унылый совок и полное отсутствие сервиса"
"304","1","Больше 1 не тянет"
"305","1","Еврейская контора"
"306","1","Просто кошмар"
"307","1","Ждали одобрения объекта, а Сбербанк продал его другому человеку, подавшему заявку позже"
"308","1","Сбербанк обдираловка клиентов"
"309","1","долбанная [цензура]"
"310","1","Очень плохо..."
"311","1","самый НЕ клиентоориентированный банк"
"312","1","Бесполезный"
"313","1","Никому не советую хранить деньги в сбербанке!"
"314","1","СБЕРБАНК НАРУШАЕТ ЗАКОН - БЕРЁТ КОМИССИЮ ЗА ОБМЕН НАЛИЧНЫХ В КАССЕ!"
"315","1","Отвратительно!"
"316","1","Сугубо отрицательное впечатление, развод на деньги и это в государственном банке!"
"317","1","Разочарован!"
"318","1","Кашмар полный!"
"319","1","Пора менять систему обслуживания."
"320","1","Что будет с нами если этот банк будет существовать? Не будет государства и будет революция."
"321","1","Кошмар"
"322","1","Сбербанк это [цензура] и воры"
"323","1","Ужасно"
"324","1","Система Быстрых Платежей и Сбербанк"
"325","1","[цензура] СБЕРБАНК"
"326","1","Самый конченый банк"
"327","1","Все улыбаются и мягко расписываются в невозможности помочь"
"328","1","вводят в заблуждение пенсионеров"
"329","1","Плохой банк."
"330","1","Разочерование"
"331","1","Обычный банк, нацеленный под прикрытием государства на выкачку денег из людей"
"332","1","Нужно быть всегда бдительными с ними"
"333","1","отвратительная работа Сбербанка"
"334","1","Хотел обменять евро на рубли"
"335","1","Сначала было положительное но как случилась пандемия больше не хочу с ""этим"" связываться."
"336","1","Не передать словами но"
"337","1","Гамно и балтокрутство"
"338","1","Плохое"
"339","1","катастрофа"
"340","1","Уменьшают процент по вкладу, достали навязывать кредит!"
"341","1","Очередное разочарование"
"342","1","Не могу связаться с премьер менедждером"
"343","1","Сберстрахование-УЖАС"
"344","1","Охренеть одним словом!"
"345","1","Плохое. Жульническая схема продления вклада."
"346","1","Собеседование, которое обернулось ФИАСКО"
"347","1","Не понял смысла акции"
"348","1","Ничего не меняется."
"349","1","Эффективные менеджеры-управленцы не эффективны."
"350","1","Некомпетентность сотрудников поражает воображение!"
"351","1","Хочешь потрепать свои нервы-оформи ипотеку в Сбербанке!"
"352","1","Потребительский кредит"
"353","1","Аккредитив Сбербанка - гарантия потери денег"
"354","1","Недоумение"
"355","1","""клиент в приоритете""? Бред. Легче наплевать."
"356","1","Не пользуйтесь Аккредитивом Сбербанка"
"357","1","Отвратительная некомпетентность"
"358","1","Слишком своевольный банк"
"359","1","Не отдают средства"
"360","1","Зажравшаяся контора, бегите оттуда"
"361","1","Совершенно некомпетентные сотрудники, не заинтересованные в решении проблемы клиента"
"362","1","г...демоны"
"363","1","раньше было лучше"
"364","1","Содействуют [цензура]"
"365","1","Настойчивые обзвоны роботов"
"366","1","Везде обман"
"367","1","хуже сбера банков нет"
"368","1","Караул"
"369","1","Сбербанк сомовольно распоряжаться средствами материнского капитала без согласия клиента"
"370","1","Банк г..."
"371","1","Обещают низкую ставку,а на деле она выше и намного."
"372","1","Некомпетентность сотрудников. 50 дней не могут подать данные в БКИ."
"373","1","Не клиентоориентированы"
"374","1","Комиссия за перевод"
"375","1","Ужасная работа банка в последнее время"
"376","1","отвратительный банк"
"377","1","Ужас!"
"378","1","Обман клиентов в банкоматах"
"379","1","Мародеры!"
"380","1","Биометрия без согласия"
"381","1","!Полностью разочаровалась в ПАО Сбербанк!"
"382","1","Очередной обман Сбербанка и списывание денег"
"383","1","Ненадежный банк"
"384","1","Резко негативное впечатление, я даже не ожидал такого уровня сервиса"
"385","1","Отвратительный банк"
"386","1","Сбербанк скатился"
"387","1","ШАРАШКИНА КОНТОРА"
"388","1","Самый ужасный банк"
